route_id,agency_id,route_short_name,route_long_name,route_type
routes:IC4435,0,IC4435,Hasselt - Mol,2
routes:IC4439,0,IC4439,Hasselt - Mol,2
routes:IC4443,0,IC4443,Hasselt - Mol,2
routes:IC5360,0,IC5360,Luik-Guillemins - Maastricht (nl),2
routes:IC5362,0,IC5362,Luik-Guillemins - Maastricht (nl),2
routes:IC5364,0,IC5364,Luik-Guillemins - Maastricht (nl),2
routes:IC5366,0,IC5366,Luik-Guillemins - Maastricht (nl),2
routes:IC5368,0,IC5368,Luik-Guillemins - Maastricht (nl),2
routes:IC5370,0,IC5370,Luik-Guillemins - Maastricht (nl),2
routes:IC5372,0,IC5372,Luik-Guillemins - Maastricht (nl),2
routes:IC5379,0,IC5379,Maastricht (nl) - Luik-Guillemins,2
routes:IC5381,0,IC5381,Maastricht (nl) - Luik-Guillemins,2
routes:IC5383,0,IC5383,Maastricht (nl) - Luik-Guillemins,2
routes:IC5385,0,IC5385,Maastricht (nl) - Luik-Guillemins,2
routes:IC5387,0,IC5387,Maastricht (nl) - Luik-Guillemins,2
routes:IC5389,0,IC5389,Maastricht (nl) - Luik-Guillemins,2
routes:IC5391,0,IC5391,Maastricht (nl) - Luik-Guillemins,2
routes:IC9216,0,IC9216,Amsterdam Cs (nl) - Brussel-Zuid,2
routes:IC9220,0,IC9220,Amsterdam Cs (nl) - Brussel-Zuid,2
routes:IC9224,0,IC9224,Amsterdam Cs (nl) - Brussel-Zuid,2
routes:IC9231,0,IC9231,Brussel-Zuid - Amsterdam Cs (nl),2
routes:IC9235,0,IC9235,Brussel-Zuid - Amsterdam Cs (nl),2
routes:IC9239,0,IC9239,Brussel-Zuid - Amsterdam Cs (nl),2
routes:IC9243,0,IC9243,Brussel-Zuid - Amsterdam Cs (nl),2
routes:IC9247,0,IC9247,Brussel-Zuid - Amsterdam Cs (nl),2
routes:IC9251,0,IC9251,Brussel-Zuid - Amsterdam Cs (nl),2
routes:IC9255,0,IC9255,Brussel-Zuid - Amsterdam Cs (nl),2
routes:IC9259,0,IC9259,Brussel-Zuid - Amsterdam Cs (nl),2
routes:IC9264,0,IC9264,Amsterdam Cs (nl) - Brussel-Zuid,2
routes:IC9268,0,IC9268,Amsterdam Cs (nl) - Brussel-Zuid,2
routes:IC19708,0,IC19708,Kortrijk - Lille Flandres(f),2
routes:IC19711,0,IC19711,Lille Flandres(f) - Kortrijk,2
